account_id,account_name,service,period1_cost,period2_cost,difference,pct_change
132880291562,shared-infra-prd,AWS Secrets Manager,0.39,1.55,1.16,+301.3%
132880291562,shared-infra-prd,Amazon DynamoDB,0.0,0.54,0.54,NEW
132880291562,shared-infra-prd,Amazon Simple Storage Service,0.0,0.25,0.25,+25347.1%
132880291562,shared-infra-prd,Amazon Route 53,0.5,0.52,0.02,+3.7%
132880291562,shared-infra-prd,TOTAL,437.2,991.82,554.62,+126.9%
249281617647,ilaas-prd-us,Amazon Kinesis Analytics,0.0,478.66,478.66,NEW
249281617647,ilaas-prd-us,Amazon Kinesis,0.0,389.76,389.76,NEW
249281617647,ilaas-prd-us,AmazonCloudWatch,0.0,183.17,183.17,NEW
249281617647,ilaas-prd-us,Amazon Elastic Container Service,0.0,177.11,177.11,NEW
249281617647,ilaas-prd-us,Amazon DynamoDB,0.0,110.6,110.6,NEW
249281617647,ilaas-prd-us,Amazon ElastiCache,0.0,87.0,87.0,NEW
249281617647,ilaas-prd-us,Amazon Relational Database Service,0.0,81.75,81.75,NEW
249281617647,ilaas-prd-us,Amazon Virtual Private Cloud,0.0,55.89,55.89,NEW
249281617647,ilaas-prd-us,EC2 - Other,0.0,31.83,31.83,NEW
249281617647,ilaas-prd-us,Amazon Elastic Load Balancing,0.0,31.63,31.63,NEW
249281617647,ilaas-prd-us,AWS Config,0.0,28.71,28.71,NEW
249281617647,ilaas-prd-us,Amazon Elastic Compute Cloud - Compute,0.0,7.24,7.24,NEW
249281617647,ilaas-prd-us,AWS Secrets Manager,0.0,3.48,3.48,NEW
249281617647,ilaas-prd-us,Amazon Route 53,0.0,1.0,1.0,NEW
249281617647,ilaas-prd-us,Amazon Simple Queue Service,0.0,0.64,0.64,NEW
249281617647,ilaas-prd-us,Amazon Kinesis Firehose,0.0,0.39,0.39,NEW
249281617647,ilaas-prd-us,Amazon Simple Storage Service,0.0,0.11,0.11,NEW
249281617647,ilaas-prd-us,Amazon Elastic File System,0.0,0.03,0.03,NEW
249281617647,ilaas-prd-us,AWS Payment Cryptography,0.0,0.01,0.01,NEW
249281617647,ilaas-prd-us,TOTAL,0.0,1669.02,1669.02,+0.0%
293458465855,wifi-dev,Amazon Simple Storage Service,258.25,880.82,622.57,+241.1%
293458465855,wifi-dev,Amazon Kinesis,118.3,610.83,492.53,+416.3%
293458465855,wifi-dev,Amazon Elastic Container Service,0.0,447.96,447.96,NEW
293458465855,wifi-dev,EC2 - Other,215.15,551.27,336.12,+156.2%
293458465855,wifi-dev,AWS Key Management Service,0.0,295.56,295.56,NEW
293458465855,wifi-dev,Amazon DynamoDB,430.78,724.95,294.17,+68.3%
293458465855,wifi-dev,CloudWatch Events,71.88,350.71,278.83,+387.9%
293458465855,wifi-dev,AWS IoT,92.86,356.28,263.42,+283.7%
293458465855,wifi-dev,Amazon Elastic Compute Cloud - Compute,482.13,299.83,-182.3,-37.8%
293458465855,wifi-dev,AWS Lambda,80.02,212.71,132.69,+165.8%
293458465855,wifi-dev,Amazon Virtual Private Cloud,33.16,160.9,127.74,+385.3%
293458465855,wifi-dev,AmazonCloudWatch,87.22,212.06,124.83,+143.1%
293458465855,wifi-dev,Amazon Relational Database Service,0.0,103.46,103.46,NEW
293458465855,wifi-dev,Amazon Managed Streaming for Apache Kafka,713.48,798.11,84.63,+11.9%
293458465855,wifi-dev,Amazon Kinesis Firehose,16.78,46.1,29.32,+174.7%
293458465855,wifi-dev,Amazon Simple Queue Service,32.77,61.47,28.7,+87.6%
293458465855,wifi-dev,AWS Glue,39.87,65.53,25.65,+64.3%
293458465855,wifi-dev,AWS Secrets Manager,5.02,15.05,10.03,+199.5%
293458465855,wifi-dev,Amazon Elastic Load Balancing,49.97,57.02,7.05,+14.1%
293458465855,wifi-dev,Amazon Elastic Container Service for Kubernetes,72.0,69.6,-2.4,-3.3%
293458465855,wifi-dev,Amazon Route 53,0.54,1.6,1.07,+198.0%
293458465855,wifi-dev,Amazon ElastiCache,0.0,0.92,0.92,NEW
293458465855,wifi-dev,AWS WAF,0.0,0.36,0.36,NEW
293458465855,wifi-dev,Amazon Elastic File System,0.0,0.33,0.33,NEW
293458465855,wifi-dev,AWS IoT Device Management,0.0,0.32,0.32,+530124.6%
293458465855,wifi-dev,TOTAL,2800.19,6323.75,3523.56,+125.8%
308464974054,ilaas-int,Amazon Kinesis,214.62,536.06,321.44,+149.8%
